Id,Label,Year,Authors,InDegree,OutDegree,PageRank
30523,"Beginning PHP5, Apache, and MySQL Web Development (Programmer to Programmer)",2005,"Elizabeth Naramore,Jason Gerner,Yann Le Scouarnec,Jeremy Stolz,Michael K. Glass",1,0,0.0002713625391421164
481,Enhancing business process management with simulation optimization,2006,"Jay April,Marco Better,Fred Glover,James Kelly,Manuel Laguna",1,0,0.0002713625391421164
504,Lightweight natural language text compression,2007,"Nieves R. Brisaboa,Antonio Fariña,Gonzalo Navarro,José R. Paramá",1,0,0.00020895934384009693
524,Grey-level hit-or-miss transforms-Part I: Unified theory,2007,"Benoít Naegel,Nicolas Passat,Christian Ronse",1,1,0.0008585365456570766
5835,Grey-level hit-or-miss transforms-part II: Application to angiographic image processing,2007,"Benoít Naegel,Nicolas Passat,Christian Ronse",1,1,0.0008585365456570766
567,"A Review of Statistical Approaches to Level Set Segmentation: Integrating Color, Texture, Motion and Shape",2007,"Daniel Cremers,Mikael Rousson,Rachid Deriche",0,1,0.00014655614853807745
34667,Dynamical Statistical Shape Priors for Level Set-Based Tracking,2006,Daniel Cremers,1,0,0.0002713625391421164
577,Using RFID technologies to capture simulation data in a hospital emergency department,2006,"Martin J. Miller,David M. Ferrin,Tanner Flynn,Marshall Ashby,K. Preston White, Jr.,Michael G. Mauer",0,2,0.00014655614853807745
32600,A survey of data resources for simulating patient flows in healthcare delivery systems,2005,"K. Preston White, Jr.",1,7,0.00020895934384009693
33310,Fixing the emergency department: a transformational journey with EDSIM,2004,"Martin J. Miller,David M. Ferrin,Marcia G. Messer",5,0,0.000463193818578343
592,Toward harnessing user feedback for machine learning,2007,"Simone Stumpf,Vidya Rajaram,Lida Li,Margaret Burnett,Thomas Dietterich,Erin Sullivan,Russell Drummond,Jonathan Herlocker",1,1,0.00017151742665888524
8300,"Data Mining: Practical Machine Learning Tools and Techniques, Second Edition (Morgan Kaufmann Series in Data Management Systems)",2005,"Ian H. Witten,Eibe Frank",39,0,0.004697800261160073
615,A domain-specific language for model coupling,2006,"Tom Bulatewicz,Janice Cuny",0,1,0.00014655614853807745
27451,The potential coupling interface: metadata for model coupling,2004,"Tom Bulatewicz,Janice Cuny,Maureen Warman",2,0,0.0003247764293016519
642,Design of a shopbot and recommender system for bundle purchases,2006,"Robert Garfinkel,Ram Gopal,Arvind Tripathi,Fang Yin",1,0,0.00030679781901668405
675,Understanding and Using Linear Programming (Universitext),2006,"Jirí Matouek,Bernd Gärtner",1,0,0.00020895934384009693
744,"Database, protocols and tools for evaluating score-level fusion algorithms in biometric authentication",2006,"Norman Poh,Samy Bengio",1,0,0.0002713625391421164
753,Development of a runtime infrastructure for large-scale distributed simulations,2006,"Buquan Liu,Yiping Yao,Jing Tao,Huaimin Wang",0,1,0.00014655614853807745
28923,Data consistency in a large-scale runtime infrastructure,2005,"Buquan Liu,Huaimin Wang,Yiping Yao",1,0,0.0002713625391421164
783,A Roadmap for Formal Property Verification,2006,Pallab Dasgupta,1,0,0.0002713625391421164
791,Rejection strategies for offline handwritten text line recognition,2006,"Roman Bertolami,Matthias Zimmermann,Horst Bunke",1,0,0.0002713625391421164
826,Logistic regression using covariates obtained by product-unit neural network models,2007,"César Hervás-Martínez,Francisco Martínez-Estudillo",0,1,0.00014655614853807745
24449,Evolutionary product unit based neural networks for regression,2006,"Alfonso Martínez-Estudillo,Francisco Martínez-Estudillo,César Hervás-Martínez,Nicolás García-Pedrajas",1,0,0.0002713625391421164
836,An experimental seminar on microprogramming and emulation,1974,Louise H. Jones,0,3,0.00014655614853807745
1982,An annotated bibliography on microprogramming II: early 1972 - early 1973,1973,"Louise H. Jones,Kenneth Carvin",2,5,0.00034839994921803035
5600,The role of instruction sequencing in structured microprogramming,1973,Louise H. Jones,1,1,0.00018815827873942378
6262,A theory of formal microprograms,1973,T. Ito,2,0,0.00024750942771365847
878,Erratum: Erratum to: Quickly tracing detection for spread spectrum watermark based on effect estimation of the affine transformation [Pattern Recognition 38 (12) 2530],2006,"Guo-Rui Feng,Ling-Ge Jiang,Dong-Jian Wang,Chen He",1,0,0.00020895934384009693
905,Archiving Websites: A Practical Guide for Information Management Professionals,2006,Adrian Brown,1,0,0.00020895934384009693
923,Simulation analysis of an outpatient department of internal medicine in a university hospital,2006,"A. K. Athula Wijewickrama,Soemon Takakuwa",1,2,0.0002713625391421164
22578,Functional analysis for operating emergency department of a general hospital,2004,"Soemon Takakuwa,Hiroko Shiozaki",7,0,0.0006903857649768071
29722,Simulation analysis of appointment scheduling in an outpatient department of internal medicine,2005,"Athula Wijewickrama,Soemon Takakuwa",1,2,0.00026211226365194847
960,A microprogrammed virtual memory for Eclipse,1977,Françoise d'Hautcourt-Carette,1,1,0.00018815827873942378
2284,An Eclipse microassembler,1977,Daniel Martin,2,0,0.00034839994921803035
962,How Computer Games Help Children Learn,2006,"David Williamson Shaffer,James Paul Gee",1,0,0.0001777577461890872
969,The Berkeley DB Book,2007,Himanshu Yadava,1,0,0.0002713625391421164
990,A new metric for measuring metamodels quality-of-fit for deterministic simulations,2006,Husam Hamad,0,2,0.00014655614853807745
23221,Validation and verification of simulation models,2004,Robert G. Sargent,8,0,0.000971648991195173
34782,Two new subjective validation methods using data displays,2005,"Husam Hamad,Sami Al-Hamdan",1,1,0.00020895934384009693
1013,Precomputed search trees: planning for interactive goal-driven animation,2006,"Manfred Lau,James J. Kuffner",0,1,0.00014655614853807745
1887,Planning Algorithms,2006,Steven M. LaValle,4,0,0.0006457817109542331
1082,Discrete event simulation for batch processing,2006,Craig W. Alexander,0,1,0.00014655614853807745
1116,A general approach for all-to-all routing in multihop WDM optical networks,2006,"Weifa Liang,Xiaojun Shen",1,0,0.0002713625391421164
1149,Introduction to Global Optimization (Nonconvex Optimization and Its Applications),2002,Reiner Horst,1,0,0.0002713625391421164
1158,Language and the Internet,2006,David Crystal,1,0,0.0002713625391421164
1163,Algorithmic Randomness and Complexity,2006,"Rod Downey,Denis Hirschfeldt",1,0,0.0002713625391421164
1173,Assignment scheduling capability for unmanned aerial vehicles: a discrete event simulation with optimization in the loop approach to solving a scheduling problem,2006,"Darryl K. Ahner,Arnold H. Buss,John Ruck",0,2,0.00014655614853807745
11187,Dynamic allocation of fires and sensors (DAFS): a low-resolution simulation for rapid modeling,2006,"Arnold H. Buss,Darryl K. Ahner",1,1,0.00020895934384009693
28806,Simple movement and detection in discrete event simulation,2005,"Arnold H. Buss,Paul J. Sánchez",2,0,0.00038691865425598737
1182,Transactions on Computational Systems Biology II (Lecture Notes in Computer Science),2005,"Alexander Zelikovsky,Corrado Priami",1,0,0.0002713625391421164
1188,Collective entity resolution in relational data,2007,"Indrajit Bhattacharya,Lise Getoor",2,1,0.00039616892974615525
26494,Query-time entity resolution,2006,"Indrajit Bhattacharya,Lise Getoor,Louis Licamele",1,0,0.0004839742183895227
1195,A comparative study of combining multiple enrolled samples for fingerprint verification,2006,"Chunyu Yang,Jie Zhou",0,1,0.00014655614853807745
9419,Biometrics: Personal Identification in Networked Society,2005,"A. K. Jain,Ruud Bolle,Sharath Pankanti",5,0,0.0008676436656918072
1205,Ontology Matching,2007,"Jérôme Euzenat,Pavel Shvaiko",2,0,0.0003337657344441358
1218,Modeling and Simulation of Aerospace Vehicle Dynamics (Aiaa Education),2003,Peter H. Zipfel,1,0,0.0002713625391421164
1228,Cognitive high level information fusion,2007,Leonid I. Perlovsky,0,2,0.00014655614853807745
12453,Mathematical Techniques in Multisensor Data Fusion (Artech House Information Warfare Library),2004,"David L. Hall,Sonya A. H. McMullen",2,0,0.0003337657344441358
6793,Exploitation of a priori knowledge for information fusion,2006,"íloi Bossé,Pierre Valin,Anne-Claire Boury-Brisset,Dominic Grenier",1,0,0.00020895934384009693
1238,Lessons identified from data collection for model validation,2006,Alan Cowdale,0,2,0.00014655614853807745
30099,Tips for successful practice of simulation,2005,Deborah A. Sadowski,1,0,0.00020895934384009693
32610,Introduction to modeling and generating probabilistic input processes for simulation,2005,"Emily K. Lada,Mary Ann Wagner,Natalie M. Steiger,James R. Wilson",1,0,0.00020895934384009693
1263,From Barbie® to Mortal Kombat: Gender and Computer Games,2000,"Justine Cassell,Henry Jenkins",1,0,0.0001777577461890872
1281,"A corpus-driven approach for design, evolution and alignment of ontologies",2006,"Thomas Wächter,André Wobst,Michael Schroeder,He Tan,Patrick Lambrix",0,1,0.00014655614853807745
29347,Potential modeling and simulation applications of the web ontology language - OWL,2004,"Lee Lacy,William Gerber",3,0,0.0003337657344441358
1304,"Data Envelopment Analysis: A Comprehensive Text with Models, Applications, References and DEA-Solver Software",2006,"William W. Cooper,Lawrence M. Seiford,Kaoru Tone",1,0,0.0002713625391421164
1330,Developing software performance with the performance refinement and evolution model,2007,"Chih-Wei Ho,Laurie Williams",0,1,0.00014655614853807745
30350,On Agile Performance Requirements Specification and Testing,2006,"Chih-Wei Ho,Michael J. Johnson,Laurie Williams,E. Michael Maximilien",1,0,0.0002713625391421164
1336,Spectral feature projections that maximize Shannon mutual information with class labels,2006,"Umut Ozertem,Deniz Erdogmus,Robert Jenssen",0,1,0.00014655614853807745
13513,Linear Feature Extractors Based on Mutual Information,1996,"K. D. Bollacker,J. Ghosh",1,0,0.0002713625391421164
1410,Secrets and Lies,2004,Bruce Schneier,1,0,0.0002713625391421164
1462,Biostatistical Analysis (5th Edition),2007,Jerrold H. Zar,4,0,0.0005625774505515405
1482,Using ontologies for simulation modeling,2006,"Perakath Benjamin,Mukul Patki,Richard Mayer",0,4,0.00014655614853807745
26138,Ontologies for modeling and simulation: issues and approaches,2004,"Paul A. Fishwick,John A. Miller",3,1,0.00038691865425598737
28094,An ontology-driven framework for process-oriented applications,2005,"Perakath Benjamin,Kumar V. Akella,Kaiser Malek,Ronald Fernandes",1,0,0.0001777577461890872
31408,Simulation and the semantic web,2005,"John A. Miller,Gregory Baramidze",2,1,0.00020895934384009693
1510,Introduction to Computational Optimization Models for Production Planning in a Supply Chain,2006,"Stefan Voß,David L. Woodruff",1,0,0.0002713625391421164
1511,Software Creativity 2.0,2006,"Robert L Glass,Tom DeMarco",1,0,0.0002713625391421164
1547,Global Software Development Handbook (Auerbach Series on Applied Software Engineering Series),2006,"Raghvinder Sangwan,Matthew Bass,Neel Mullick,Daniel J. Paulish,Juergen Kazmeier",1,0,0.0002713625391421164
1555,Modeling the short-term dynamics of packet losses,2006,"Fernando Silveira,Edmundo de Souza e Silva",1,0,0.0002713625391421164
1577,Language support for fast and reliable message-based communication in singularity OS,2006,"Manuel Fähndrich,Mark Aiken,Chris Hawblitzel,Orion Hodson,Galen Hunt,James R. Larus,Steven Levi",1,0,0.00020895934384009693
1584,Process prioritization using output production: Scheduling for multimedia,2006,"Yoav Etsion,Dan Tsafrir,Dror G. Feitelson",0,3,0.00014655614853807745
12379,"Linux Device Drivers, 3rd Edition",2005,"Jonathan Corbet,Alessandro Rubini,Greg Kroah-Hartman",2,0,0.0003037143938532948
15170,Operating System Concepts,2004,"Abraham Silberschatz,Peter Baer Galvin,Greg Gagne",1,0,0.00018815827873942378
17248,Linux Kernel Development (2nd Edition) (Novell Press),2005,Robert Love,1,0,0.00018815827873942378
1587,Pseudopalindrome closure operators in free monoids,2006,"Aldo de Luca,Alessandro de Luca",0,1,0.00014655614853807745
23392,Some characterizations of finite Sturmian words,2006,"Aldo de Luca,Alessandro De Luca",1,0,0.0002713625391421164
1629,Crowd simulation for emergency response using BDI agent based on virtual reality,2006,"Ameya Shendarkar,Karthik Vasudevan,Seungho Lee,Young-Jun Son",1,1,0.00020895934384009693
22207,Tutorial on agent-based modeling and simulation,2005,"Charles M. Macal,Michael J. North",1,1,0.000324515458953968
1721,Information and Self-Organization: A Macroscopic Approach to Complex Systems (Springer Series in Synergetics),2006,Hermann Haken,2,0,0.00034040984942061724
1743,Cramer's rule on 2-by-2 systems,1974,Cleve Moler,1,0,0.0002713625391421164
1749,GPS/IMU data fusion using multisensor Kalman filtering: introduction of contextual aspects,2006,"Francois Caron,Emmanuel Duflos,Denis Pomorski,Philippe Vanheeghe",1,0,0.0002713625391421164
1752,Airspace geometry and 4D flight proximity detection for simulation of the National Airspace System,2006,"Paul T. R. Wang,Richard E. Snow",0,1,0.00014655614853807745
31015,Modeling time and space metering of flights in the national airspace system,2004,"Paul T. R. Wang,Craig R. Wanke,Frederick P. Wieland",1,0,0.0002713625391421164
1761,JET: dynamic join-exit-tree amortization and scheduling for contributory key management,2006,"Yinian Mao,Yan Sun,Min Wu,K. J. Ray Liu",1,0,0.00020895934384009693
1768,Introduction to Discrete Event Systems,2006,"Christos G. Cassandras,Stephane Lafortune",8,0,0.001340528109469071
1798,Human-Machine Reconfigurations: Plans and Situated Actions,2006,Lucy A. Suchman,1,0,0.00020895934384009693
1811,"Image Processing And Analysis: Variational, Pde, Wavelet, And Stochastic Methods",2005,"Tony Chan,Jianhong Shen",1,0,0.00020895934384009693
1861,Sensor and Data Fusion: A Tool for Information Assessment and Decision Making (SPIE Press Monograph Vol. PM138),2004,Lawrence A. Klein,1,0,0.0002713625391421164
1882,K42: building a complete operating system,2006,"Orran Krieger,Marc Auslander,Bryan Rosenburg,Robert W. Wisniewski,Jimi Xenidis,Dilma Da Silva,Michal Ostrowski,Jonathan Appavoo,Maria Butrico,Mark Mergen,Amos Waterland,Volkmar Uhlig",0,1,0.00014655614853807745
22352,Meta-data snapshotting: a simple mechanism for file system consistency,2003,"Livio B Soares,Orran Y Krieger,Dilma Da Silva",1,0,0.0002713625391421164
1884,"Efficient hardware checkpointing: concepts, overhead analysis, and implementation",2007,"Dirk Koch,Christian Haubelt,Jürgen Teich",1,0,0.00020895934384009693
1890,Analysis of peer-to-peer file dissemination,2006,"Jochen Mundinger,Richard Weber,Gideon Weiss",1,0,0.0002713625391421164
1896,A distributed simulation approach for modeling and analyzing systems of systems,2006,"Abeer Sharawi,Serge N. Sala-Diakanda,Adam Dalton,Sergio Quijada,Nabeel Yousef,Luis Rabelo,José Sepúlveda",0,3,0.00014655614853807745
21496,"Distributing a large-scale, complex FAB simulation using HLA and Java: issues and lessons",2004,Leon F. McGinnis,3,0,0.0005669655892058168
32716,Ideas for modeling and simulation of supply chains with Arena,2004,Guilherme Ernani Vieira,2,1,0.00025056147404144325
34905,"Time management in distributed factory simulation, a case study using HLA",2005,"Ke Wang,Sheng Xu,Leon F. McGinnis",4,1,0.00040032914276628983
1939,Computer Networking with Internet Protocols,2003,William Stallings,1,0,0.00020895934384009693
1951,Andrew Rollings and Ernest Adams on Game Design,2003,"Andrew Rollings,Ernest Adams",1,0,0.0002713625391421164
1977,On the information and representation of non-Euclidean pairwise data,2006,"Julian Laub,Volker Roth,Joachim M. Buhmann,Klaus-Robert Müller",1,0,0.0002713625391421164
10011,Teaching microprogramming: a firmware laboratory,1973,"T. G. Lewis,A. R. DeKock,H. R. Alcorn",1,0,0.0002059072975123122
14188,A microprogrammed display processor concept for 3-D dynamic interactive computer graphics,1973,"Reiner W. Hartenstein,Klaus D. Mueller",1,0,0.0002059072975123122
15206,Statistical evaluation of program runs on a microprogrammed computer through simulation,1973,Hans-Jürgen Färber,1,0,0.0002059072975123122
9383,Microprogramming: a pedagogical tool,1973,Alberto F. Tassinari,1,0,0.0002059072975123122
1989,"Nonlinear Optimization in Finite Dimensions - Morse Theory, Chebyshev Approximation, Transversality, Flows, Parametric Aspects (Nonconvex Optimization and its Applications Volume 47)",2000,"Hubertus Th. Jongen,P. Jonker,F. Twilt",1,0,0.00037766837876581955
2019,"Computer Architecture, Fourth Edition: A Quantitative Approach",2006,"John L. Hennessy,David A. Patterson",3,0,0.0005209753203501942
2058,"RIMAC: a novel redundancy-based hierarchical cache architecture for energy efficient, high performance storage systems",2006,"Xiaoyu Yao,Jun Wang",1,1,0.0002713625391421164
24307,Interplay of energy and performance for disk arrays running transaction processing workloads,2003,"S. Gurumurthi,Jianyong Zhang,A. Sivasubramaniam,M. Kandemir",1,0,0.00037766837876581955
2072,Women Composers And Music Technology in the United States: Crossing the Line,2006,Elizabeth Hinkle-turner,1,0,0.0002713625391421164
2073,Protocol: How Control Exists after Decentralization (Leonardo Books),2006,Alexander R. Galloway,1,0,0.0002713625391421164
2080,Gradient-based simulation optimization,2006,Sujin Kim,0,1,0.00014655614853807745
28452,"Simulation optimization: a review, new developments, and applications",2005,"Michael C. Fu,Fred W. Glover,Jay April",4,2,0.0004804122761639579
2090,Micro programming rational arithmetic operations,1979,"William I. Thacker,G. W. Gorsline",2,0,0.0003337657344441358
2115,Context-Aware Pervasive Systems,2006,Seng Loke,1,0,0.00020895934384009693
2121,Neural Networks: A Comprehensive Foundation (3rd Edition),2007,Simon Haykin,18,0,0.0023745706284304426
2140,Rearrangeability of Tandem Cascade of Banyan-Type Networks,2007,"Xuesong Tan,Shuo-Yen Robert Li",1,0,0.0002713625391421164
2159,"Markov Chains: Models, Algorithms and Applications (International Series in Operations Research & Management Science)",2006,"Wai-KI Ching,Michael K. Ng,W. Ching",1,0,0.0002713625391421164
2190,Reference models for supply chain design and configuration,2006,"Markus Rabe,Frank-Walter Jaekel,Heiko Weinaug",0,2,0.00014655614853807745
29045,From simulation to gaming: an object-oriented supply chain training library,2005,"Alexander Verbraeck,Stijn-Pieter A. van Houten",1,0,0.00020895934384009693
2211,Java Concepts,2007,Cay S. Horstmann,1,0,0.0002713625391421164
2225,Educational Assessment of Students (5th Edition),2006,"Anthony J. Nitko,Susan M. Brookhart",1,0,0.0002713625391421164
2239,Towards a language for the description of IC chips: (part II),1973,Reiner W. Hartenstein,0,1,0.00014655614853807745
7090,A halfbaked idea about a set of register transfer primitives: (part 1),1973,Reiner W. Hartenstein,1,0,0.0002713625391421164
2289,The lonesome cowboy: A study of the usability designer role in systems development,2006,"Inger Boivie,Jan Gulliksen,Bengt Göransson",1,1,0.00032743691649611014
13835,Usability professionals-current practices and future development,2006,"Jan Gulliksen,Inger Boivie,Bengt Göransson",1,2,0.00042560628897630456
2331,Development of timed colour Petri net simulation models for air cargo terminal operations,2006,"Chulung Lee,Huei Chuen Huang,Bin Liu,Zhiyong Xu",0,1,0.00014655614853807745
21095,Reservation storage policy for AS/RS at air cargo terminals,2005,"Chulung Lee,Huei Chuen Huang,Paul Goldsman,Bin Liu,Zhiyong Xu",1,0,0.0002713625391421164
2336,Transactional Memory (Synthesis Lectures on Computer Architecture),2007,"Jim Larus,Ravi Rajwar",3,0,0.00045857212504817464
2337,Requirements for DDDAS flexible point support,2006,"Joseph C. Carnahan,Paul F. Reynolds, Jr.",0,2,0.00014655614853807745
20569,The computational complexity of component selection in simulation reuse,2005,"Robert G. Bartholet,David C. Brogan,Paul F. Reynolds, Jr.",1,1,0.00020895934384009693
21478,Simulation-specific characteristics and software reuse,2005,"Joseph C. Carnahan,Paul F. Reynolds, Jr.,David C. Brogan",1,2,0.00020895934384009693
2344,Cellular Neural Networks and Visual Computing,2005,"Leon O. Chua,Tamas Roska",1,0,0.0002713625391421164
2348,Numerical Mathematics (Texts in Applied Mathematics),2006,"Alfio Quarteroni,Riccardo Sacco,Fausto Saleri",1,0,0.0002713625391421164
2375,Digital Signal Processing (4th Edition),2006,"John G. Proakis,Dimitris K. Manolakis",2,0,0.0002713625391421164
2434,Blogging and RSS: A Librarian's Guide,2006,Michael P. Sauers,1,0,0.00025528185565259267
2456,Scaling Software Agility: Best Practices for Large Enterprises (The Agile Software Development Series),2007,Dean Leffingwell,1,0,0.00020895934384009693
2459,Ranking and selection procedures for simulation,2006,"Kirk C. Benson,David Goldsman,Amy R. Pritchett",1,1,0.00020895934384009693
15414,Simulation Modeling and Analysis (McGraw-Hill Series in Industrial Engineering and Management),2006,Averill Law,3,0,0.00042852078445733367
2476,System Modeling in Cellular Biology: From Concepts to Nuts and Bolts,2006,"Zoltan Szallasi,Jörg Stelling,Vipul Periwal",1,0,0.0002713625391421164
2493,Pattern classification in DNA microarray data of multiple tumor types,2006,"Tsun-Chen Lin,Ru-Sheng Liu,Chien-Yu Chen,Ya-Ting Chao,Shu-Yuan Chen",1,0,0.0002713625391421164
2543,Personalized DVB-H Service Discovery Beyond 3G,2007,Michael Petersen,0,1,0.00014655614853807745
2772,The Description Logic Handbook,2007,"Franz Baader,Diego Calvanese,Deborah L. McGuinness,Daniele Nardi,Peter F. Patel-Schneider",9,0,0.001207410468672408
2598,Chinese Cyberspaces Technological Changes and Political Effects (Asia's Transformations),2006,"Jens Damm,Simona Thomas",1,0,0.0002713625391421164
2651,Constraint Logic Programming using Eclipse,2007,"Krzysztof R. Apt,Mark Wallace",2,0,0.0004952170782380072
2662,A Guide to MATLAB: For Beginners and Experienced Users,2006,"Brian R. Hunt,Ronald L. Lipsman,Jonathan M. Rosenberg,Kevin R. Coombes,John E. Osborn,Garrett J. Stuck",1,0,0.00032743691649611014
2664,Speech Quality of VoIP: Assessment and Prediction,2006,Alexander Raake,1,0,0.00020895934384009693
2676,Multiresolution fragile watermarking using complex chirp signals for content authentication,2006,"Dan Yu,Farook Sattar,Braham Barkat",1,0,0.00020895934384009693
2721,"Handbook of Combinatorial Designs, Second Edition (Discrete Mathematics and Its Applications)",2006,"Charles J. Colbourn,Jeffrey H. Dinitz",1,0,0.0002713625391421164
2725,Sequence step algorithm for continuous resource utilization in probabilistic repetitive projects,2006,"Photios G. Ioannou,Chachrist Srisuwanrat",0,1,0.00014655614853807745
28779,Simulation of multiple-drift tunnel construction with limited resources,2005,"Photios G. Ioannou,Veerasak Likhitruangsilp",1,0,0.0002713625391421164
2767,Data Analysis and Visualization in Genomics and Proteomics,2005,"Francisco Azuaje,Joaquin Dopazo",1,0,0.0002713625391421164
2774,Linking strategic objectives to operations: towards a more effective supply chain decision making,2006,"Changrui Ren,Jin Dong,Hongwei Ding,Wei Wang",0,2,0.00014655614853807745
23088,"Analysis of supply chains using system dynamics, neural nets, and eigenvalues",2004,"Luis Rabelo,Magdy Helal,Chalermmon Lertpattarapong",1,0,0.00020895934384009693
5475,IBM SmartSCOR - a SCOR based supply chain transformation platform through simulation and optimization techniques,2006,"Jin Dong,Hongwei Ding,Changrui Ren,Wei Wang",1,1,0.00020895934384009693
2785,The Mobile Revolution: The Making of Mobile Services Worldwide,2007,Dan Steinbock,2,0,0.00039616892974615525
2795,From measured physical parameters to the haptic feeling of fabric,2007,"Pascal Volino,Pierre Davy,Ugo Bonanni,Christiane Luible,Nadia Magnenat-Thalmann,Mailis M&#x00e4;kinen,Harriet Meinander",1,0,0.0002713625391421164
2808,Scheduling linear deteriorating jobs with an availability constraint on a single machine,2006,"Min Ji,Yong He,T. C. E. Cheng",1,0,0.0002713625391421164
2823,Some computational experiments with Scolnik's linear programming approach,1975,"Mohammad Saiidi,J. A. Tomlin",0,4,0.00014655614853807745
9901,A new approach to linear programming,1973,Hugo D. Scolnik,2,0,0.00032914059669905194
13662,More remarks on Scolnik's approach to linear programming,1974,David M. Gay,1,1,0.0001777577461890872
7223,On Scolnik's proposed polynomial-time linear programming algorithm,1974,David M. Gay,1,0,0.0001777577461890872
7182,"A commentary on the ""New Approach to LP""",1974,William W. White,1,0,0.0001777577461890872
2903,Supporting interface customization using a mixed-initiative approach,2007,"Andrea Bunt,Cristina Conati,Joanna McGrenere",1,0,0.00017151742665888524
2936,The Rational Guide to SQL Server 2005 Service Broker Beta Preview (Rational Guides),2005,Roger Wolter,1,0,0.00020895934384009693
2958,Indirect cycle-time quantile estimation for non-FIFO dispatching policies,2006,"Jennifer McNeill Bekki,Gerald T. Mackulak,John W. Fowler",0,2,0.00014655614853807745
23863,Cycle-time quantile estimation in manufacturing systems employing dispatching rules,2005,"Jennifer E. McNeill,John. W. Fowler,Gerald T. Mackulak,Barry L. Nelson",1,0,0.00020895934384009693
35291,Estimation of percentiles of cycle time in manufacturing simulation,2005,"Feng Yang,Bruce E. Ankenman,Barry L. Nelson",1,0,0.00020895934384009693
2971,AD HOC NETWORKS: Technologies and Protocols,2004,"Prasant Mohapatra,Srikanth Krishnamurthy",1,0,0.00020895934384009693
3003,System Dynamics: Modeling and Simulation of Mechatronic Systems,2006,"Dean C. Karnopp,Donald L. Margolis,Ronald C. Rosenberg",1,0,0.0002713625391421164
3022,Security weakness in a three-party pairing-based protocol for password authenticated key exchange,2007,"Junghyun Nam,Youngsook Lee,Seungjoo Kim,Dongho Won",1,0,0.0002713625391421164
3028,Composing simulations from XML-specified model components,2006,"Mathias Röhl,Adelinde M. Uhrmacher",0,2,0.00014655614853807745
23293,Using XML and BOMS to rapidly compose simulations and simulation environments,2004,"Paul Gustavson,Tram Chase",1,0,0.00020895934384009693
